geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
county,"Smith County, Kansas",2023,Kansas,0.8,,106800.0,73800.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Northampton County, North Carolina",2023,North Carolina,54.9,67.4,143400.0,77900.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Elliott County, Kentucky",2023,Kentucky,3.0,,151300.0,77900.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Sumter County, Alabama",2023,Alabama,71.2,69.3,95800.0,79300.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Pemiscot County, Missouri",2023,Missouri,24.9,31.4,109200.0,81900.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Wise County, Virginia",2023,Virginia,5.4,48.0,142200.0,90400.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Dewey County, Oklahoma",2023,Oklahoma,0.0,74.7,140800.0,98200.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Logan County, Kansas",2023,Kansas,0.0,,120800.0,100900.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Eastland County, Texas",2023,Texas,2.3,48.9,152200.0,102200.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Colleton County, South Carolina",2023,South Carolina,34.7,67.8,191700.0,103900.0,26-50% of geographies,Bottom 25% of geographies
county,"Acadia Parish, Louisiana",2023,Louisiana,15.7,40.4,211600.0,104900.0,51-75% of geographies,Bottom 25% of geographies
county,"Brunswick County, Virginia",2023,Virginia,53.4,61.4,158500.0,106600.0,26-50% of geographies,Bottom 25% of geographies
county,"Lamar County, Alabama",2023,Alabama,9.3,47.8,117700.0,108500.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Warren County, Mississippi",2023,Mississippi,49.0,56.4,183200.0,108800.0,26-50% of geographies,Bottom 25% of geographies
county,"Randolph County, Arkansas",2023,Arkansas,1.1,60.3,151500.0,109000.0,Bottom 25% of geographies,Bottom 25% of geographies
county,"Uvalde County, Texas",2023,Texas,1.4,0.0,199400.0,110700.0,51-75% of geographies,Bottom 25% of geographies
county,"Montgomery County, New York",2023,New York,3.1,17.3,162900.0,118500.0,26-50% of geographies,26-50% of geographies
